classe,tipo,origem,destino
nao_otoscopica,original,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTODATA\TRAIN\nao_otoscopica\nao_otoscopica_train (1).jpg,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTOAUGMENTED\TRAIN\nao_otoscopica\nao_otoscopica_train (1).jpg
nao_otoscopica,original,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTODATA\TRAIN\nao_otoscopica\nao_otoscopica_train (10).jpg,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTOAUGMENTED\TRAIN\nao_otoscopica\nao_otoscopica_train (10).jpg
nao_otoscopica,original,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTODATA\TRAIN\nao_otoscopica\nao_otoscopica_train (11).jpg,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTOAUGMENTED\TRAIN\nao_otoscopica\nao_otoscopica_train (11).jpg
nao_otoscopica,original,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTODATA\TRAIN\nao_otoscopica\nao_otoscopica_train (12).jpg,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTOAUGMENTED\TRAIN\nao_otoscopica\nao_otoscopica_train (12).jpg
nao_otoscopica,original,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTODATA\TRAIN\nao_otoscopica\nao_otoscopica_train (13).jpg,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTOAUGMENTED\TRAIN\nao_otoscopica\nao_otoscopica_train (13).jpg
nao_otoscopica,original,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTODATA\TRAIN\nao_otoscopica\nao_otoscopica_train (14).jpg,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTOAUGMENTED\TRAIN\nao_otoscopica\nao_otoscopica_train (14).jpg
nao_otoscopica,original,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTODATA\TRAIN\nao_otoscopica\nao_otoscopica_train (15).jpg,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTOAUGMENTED\TRAIN\nao_otoscopica\nao_otoscopica_train (15).jpg
nao_otoscopica,original,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTODATA\TRAIN\nao_otoscopica\nao_otoscopica_train (16).jpg,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTOAUGMENTED\TRAIN\nao_otoscopica\nao_otoscopica_train (16).jpg
nao_otoscopica,original,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTODATA\TRAIN\nao_otoscopica\nao_otoscopica_train (17).jpg,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTOAUGMENTED\TRAIN\nao_otoscopica\nao_otoscopica_train (17).jpg
nao_otoscopica,original,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTODATA\TRAIN\nao_otoscopica\nao_otoscopica_train (18).jpg,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTOAUGMENTED\TRAIN\nao_otoscopica\nao_otoscopica_train (18).jpg
nao_otoscopica,original,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTODATA\TRAIN\nao_otoscopica\nao_otoscopica_train (19).jpg,C:\Users\drdhs\OneDrive\Documentos\APPROTTO\PROTTO\dataset\PROTTOAUGMENTED\TRAIN\nao_otoscopica\nao_otoscopica_train (19).jpg
